           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           1980,            190,   106.0000    ,   43.92800    ,   23.40000    ,   1.121118    ,
           1980,            191,   102.0000    ,   42.33994    ,   23.00000    ,   1.116964    ,
           1980,            192,   108.0000    ,   34.51963    ,   24.50000    ,   1.090243    ,
           1980,            193,   112.0000    ,   30.47970    ,   26.70000    ,   1.235978    ,
           1980,            194,   115.0000    ,   43.60456    ,   28.30000    ,   11.48296    ,
           1980,            195,   121.0000    ,   44.09664    ,   30.10000    ,   1.854655    ,
           1980,            196,   129.0000    ,   32.29193    ,   32.20000    ,   1.179958    ,
           1980,            197,   135.0000    ,   33.43760    ,   35.10000    ,   1.131285    ,
           1980,            198,   141.0000    ,   32.18712    ,   38.00000    ,   1.151704    ,
           1980,            199,   130.0000    ,   33.28537    ,   33.80000    ,   1.279703    ,
           1980,            200,   118.0000    ,   27.53791    ,   30.70000    ,   1.182675    ,
           1980,            201,   112.0000    ,   27.11344    ,   29.10000    ,   1.277427    ,
           1980,            202,   111.0000    ,   36.06797    ,   29.70000    ,   1.317172    ,
           1980,            203,   117.0000    ,   42.30971    ,   32.30000    ,   1.351485    ,
           1980,            204,   123.0000    ,   46.78999    ,   34.50000    ,   1.463266    ,
           1980,            205,   124.0000    ,   45.34858    ,   35.70000    ,   1.524352    ,
           1980,            206,   125.0000    ,   41.11632    ,   37.70000    ,   1.339378    ,
           1980,            207,   126.0000    ,   41.18137    ,   38.70000    ,   1.317825    ,
           1980,            208,   122.0000    ,   40.08953    ,   37.10000    ,   1.394526    ,
           1980,            209,   119.0000    ,   39.56674    ,   35.90000    ,   1.433013    ,
           1980,            210,   113.0000    ,   40.20855    ,   33.60000    ,   1.450871    ,
           1980,            211,   106.0000    ,   39.77744    ,   31.90000    ,   1.422845    ,
           1980,            212,   109.0000    ,   36.07936    ,   34.50000    ,   1.575944    ,
           1980,            213,   110.0000    ,   36.91674    ,   34.60000    ,   1.637963    ,
           1980,            214,   105.0000    ,   35.21026    ,   33.80000    ,   1.774684    ,
           1980,            215,   108.0000    ,   27.24535    ,   34.60000    ,   1.739274    ,
           1980,            216,   106.0000    ,   23.04570    ,   33.30000    ,   1.703354    ,
           1980,            217,   99.60000    ,   27.82070    ,   31.10000    ,   1.676064    ,
           1980,            218,   100.0000    ,   59.18261    ,   29.60000    ,   10.26551    ,
           1980,            219,   99.70000    ,   96.10683    ,   29.30000    ,   13.29209    ,
           1980,            220,   96.10000    ,   88.28819    ,   30.10000    ,   4.142490    ,
           1980,            221,   97.50000    ,   36.54934    ,   30.40000    ,   2.085470    ,
           1980,            222,   91.30000    ,   34.61100    ,   28.20000    ,   1.571763    ,
           1980,            223,   86.40000    ,   32.78773    ,   27.30000    ,   1.474994    ,
           1980,            224,   85.70000    ,   37.53605    ,   27.50000    ,   6.879288    ,
           1980,            225,   83.50000    ,   58.05794    ,   26.60000    ,   5.437370    ,
           1980,            226,   79.70000    ,   37.97467    ,   24.40000    ,   1.615267    ,
           1980,            227,   73.60000    ,   33.31521    ,   22.00000    ,   1.327542    ,
           1980,            228,   69.80000    ,   29.30026    ,   20.10000    ,   1.281409    ,
           1980,            229,   64.20000    ,   28.43610    ,   18.00000    ,   1.266071    ,
           1980,            230,   60.80000    ,   19.12168    ,   16.50000    ,   1.241615    ,
           1980,            231,   57.20000    ,   19.60703    ,   15.60000    ,   1.255114    ,
           1980,            232,   55.20000    ,   25.39246    ,   15.30000    ,   1.255439    ,
           1980,            233,   53.90000    ,   22.92996    ,   15.00000    ,   1.244644    ,
           1980,            234,   52.20000    ,   20.43574    ,   13.70000    ,   1.230453    ,
           1980,            235,   48.70000    ,   21.83398    ,   12.30000    ,   1.233549    ,
