           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            311,   79.10054    ,   49.23312    ,  0.3631002    ,   239.5873    ,   279.0174    ,  -8.408783    ,   10.61261    ,   7.394313    ,  -8.431220    ,  -3.336304    ,  -6.978241    ,   8.610391    ,  -5.340485    ,   0.000000    ,  -2.340302    , -0.5552063    ,   1.813721    ,  0.3221253E-02,   2.070696    ,   77431.45    ,
           1980,            312,   71.55971    ,   42.54813    ,  0.3874431    ,   246.1396    ,   278.2952    ,  -8.547668    ,   8.976947    ,   6.451240    ,  -6.807998    ,  -4.394470    ,  -7.092163    ,   8.591516    ,  -5.365509    ,  0.1861877    ,  -2.494934    , -0.6608887    ,   1.791138    ,  0.3204036E-02,   1.448259    ,   76747.18    ,
           1980,            313,   70.80789    ,   41.94783    ,  0.4076183    ,   249.6525    ,   280.6091    ,  -8.017639    ,   3.914263    ,   10.99043    ,  -6.265771    ,  -3.862427    ,  -6.603973    ,   8.594415    ,  -5.117310    ,   0.000000    ,  -2.419586    , -0.7812195    ,   1.767578    ,  0.3176199E-02,   2.478770    ,   77011.96    ,
           1980,            314,   64.43771    ,   37.40435    ,  0.4196166    ,   221.6228    ,   258.3228    ,  -13.56549    ,   9.541038    ,   4.240968    ,  -10.08483    ,  -6.672699    ,  -11.70242    ,   8.657417    ,  -7.095093    ,   0.000000    ,  -3.145569    , -0.8142395    ,   1.742859    ,  0.2475105E-02,   1.313463    ,   77677.45    ,
           1980,            315,   54.88881    ,   31.13259    ,  0.4324330    ,   224.7883    ,   253.4864    ,  -14.78833    ,   8.841425    ,   2.641394    ,  -10.30786    ,  -8.163940    ,  -13.36520    ,   8.685493    ,  -8.198334    ,   0.000000    ,  -3.848206    ,  -1.110077    ,   1.718567    ,  0.2210191E-02,  0.9496377    ,   77984.44    ,
           1980,            316,   74.77935    ,   42.61819    ,  0.4306667    ,   207.5819    ,   248.6283    ,  -15.96472    ,   9.328593    ,   4.056709    ,  -9.948490    ,  -9.923889    ,  -13.29343    ,   8.720326    ,  -8.257202    ,   0.000000    ,  -3.927979    ,  -1.402069    ,   1.690918    ,  0.1857718E-02,  0.6012105    ,   78277.84    ,
           1980,            317,   82.86316    ,   48.56682    ,  0.4144232    ,   153.4747    ,   210.9549    ,  -26.65231    ,   9.533233    ,   2.020222    ,  -17.65330    ,  -11.37115    ,  -23.36282    ,   8.755066    ,  -13.15018    ,   0.000000    ,  -5.982147    ,  -1.853210    ,   1.661285    ,  0.1275583E-02,  0.9114382    ,   78586.07    ,
           1980,            318,   81.49274    ,   47.98134    ,  0.4111453    ,   155.4280    ,   210.9732    ,  -26.77858    ,   7.287566    ,   2.094428    ,  -17.96235    ,  -10.07465    ,  -23.89726    ,   8.753545    ,  -14.80313    ,   0.000000    ,  -7.339020    ,  -2.929321    ,   1.626221    ,  0.1167435E-02,   1.016191    ,   78919.06    ,
           1980,            319,   70.30202    ,   42.96913    ,  0.3898960    ,   182.7640    ,   226.2773    ,  -22.31599    ,   8.585115    ,   1.805779    ,  -14.37956    ,  -9.372803    ,  -20.11185    ,   8.733298    ,  -13.80389    ,   0.000000    ,  -7.744202    ,  -4.045563    ,   1.581116    ,  0.1418032E-02,  0.8131960    ,   78678.48    ,
           1980,            320,   77.35773    ,   46.02173    ,  0.4064175    ,   196.0846    ,   240.5410    ,  -18.13120    ,   8.287834    ,   3.517323    ,  -10.11744    ,  -8.525360    ,  -15.06290    ,   8.749644    ,  -11.64069    ,   0.000000    ,  -7.222443    ,  -4.606689    ,   1.526794    ,  0.1869861E-02,  0.8825736    ,   79306.12    ,
           1980,            321,   60.80176    ,   36.50672    ,  0.4009736    ,   199.1471    ,   234.9690    ,  -19.88161    ,   9.723874    ,  0.4262461E-01,  -11.57115    ,  -9.693634    ,  -18.11790    ,   8.741510    ,  -13.05023    ,   0.000000    ,  -8.085144    ,  -5.002686    ,   1.470062    ,  0.1758367E-02,  0.8135144    ,   78762.41    ,
           1980,            322,   68.45496    ,   40.01340    ,  0.4161738    ,   197.4892    ,   235.9418    ,  -19.31950    ,   11.57560    ,  0.5505388    ,  -10.06795    ,  -12.20355    ,  -17.20747    ,   8.751143    ,  -12.29678    ,   0.000000    ,  -7.954041    ,  -5.367004    ,   1.411133    ,  0.1620657E-02,   1.188752    ,   78210.77    ,
           1980,            323,   54.13378    ,   31.07217    ,  0.4260028    ,   223.2727    ,   248.7255    ,  -15.92999    ,   10.83879    ,  0.8101746    ,  -7.383294    ,  -11.38861    ,  -14.77249    ,   8.757381    ,  -11.06696    ,   0.000000    ,  -7.737244    ,  -5.617981    ,   1.352478    ,  0.1771685E-02,   1.140409    ,   78622.45    ,
           1980,            324,   63.25955    ,   35.65531    ,  0.4368767    ,   212.3908    ,   245.5385    ,  -16.78796    ,   7.719190    ,   3.507607    ,  -7.363727    ,  -9.215790    ,  -14.58289    ,   8.719836    ,  -10.72864    ,   0.000000    ,  -7.514191    ,  -5.528503    ,   1.294983    ,  0.1827445E-02,   1.538970    ,   78533.23    ,
           1980,            325,   55.65121    ,   31.27120    ,  0.4385512    ,   221.1936    ,   246.9454    ,  -16.36426    ,   8.275090    ,   1.724015    ,  -7.352288    ,  -11.71240    ,  -14.87939    ,   8.744706    ,  -11.05225    ,   0.000000    ,  -7.761353    ,  -5.601318    ,   1.242798    ,  0.1708396E-02,   1.074958    ,   78369.70    ,
           1980,            326,   41.80389    ,   23.05883    ,  0.4488061    ,   243.4846    ,   260.4030    ,  -13.07877    ,   4.200696    ,   3.391714    ,  -4.614488    ,  -8.981018    ,  -12.08820    ,   8.635282    ,  -9.424622    ,   0.000000    ,  -7.215973    ,  -5.632172    ,   1.191162    ,  0.2253111E-02,   1.098756    ,   76990.21    ,
           1980,            327,   48.57976    ,   25.84431    ,  0.4678555    ,   196.9141    ,   226.5318    ,  -22.08267    ,   4.560477    ,   2.768745    ,  -5.579174    ,  -13.46289    ,  -19.36980    ,   8.701654    ,  -9.294159    ,   0.000000    ,  -6.842102    ,  -5.229553    ,   1.142761    ,  0.1280129E-02,   1.019200    ,   78024.23    ,
           1980,            328,   64.68102    ,   35.96988    ,  0.4465823    ,   178.5052    ,   213.5794    ,  -25.86728    ,   4.300112    ,   2.653479    ,  -8.730672    ,  -14.94260    ,  -23.24010    ,   8.738696    ,  -11.12491    ,   0.000000    ,  -7.500000    ,  -5.173645    ,   1.098969    ,  0.1043051E-02,  0.8416486    ,   78169.77    ,
           1980,            329,   60.12876    ,   33.12109    ,  0.4495526    ,   188.2022    ,   222.0824    ,  -23.26595    ,   5.743076    ,   1.942663    ,  -8.340550    ,  -15.13501    ,  -20.54561    ,   8.781060    ,  -11.11218    ,   0.000000    ,  -7.663269    ,  -5.441498    ,   1.056366    ,  0.1030388E-02,  0.7133262    ,   78898.45    ,
           1980,            330,   58.41588    ,   31.49515    ,  0.4609428    ,   186.9527    ,   221.8506    ,  -23.18675    ,   5.482708    ,   2.108219    ,  -8.132635    ,  -15.07336    ,  -20.46410    ,   8.767350    ,  -11.12616    ,   0.000000    ,  -7.782196    ,  -5.649048    ,   1.014343    ,  0.1256041E-02,   1.597902    ,   78573.62    ,
