p[[1]],majority,minority,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_16,frac_17,frac_18,frac_19
71031503,1,11,0.390626400709152,0.0279332082718611,0.00014416546036955,0.00389246759004891,0.028538890182972,0.0411641299724579,0.000120137890917249,0,0.000607773661613464,0.356343984603882,0.00183871446643025,0.0140321049839258,0.134758025407791
71031506,16,12,0.38346529006958,0.0205415263772011,0.00157187727745622,0.00219331705011427,0.029510460793972,0.101101934909821,0.000248575932346284,0.000212020662729628,0.0017398203490302,0.443161219358444,0.000818027590867132,0.00402839248999953,0.0114075131714344
71031643,16,5,0.268645375967026,0.0207751505076885,0.000469244288979098,0.003372693201527,0.0310876332223415,0.0311241261661053,0,0,0.00233347853645682,0.323370307683945,0.00918202940374613,0.03249516710639,0.277144759893417
71031654,1,11,0.43235781788826,0.0333523191511631,0.00449636578559875,0.00674454867839813,0.0730381086468697,0.151211068034172,0.000207069475436583,0.00165000068955123,0.00357934390194714,0.27946525812149,0.00272179138846695,0.00431901123374701,0.00685730297118425
71031687,16,6,0.13755002617836,0.0612340271472931,0,0.000257751788012683,0.00415624771267176,0.0290632322430611,0,0.00115988310426474,0,0.700292706489563,0,0.010890013538301,0.055396132171154
71031838,16,5,0.176167070865631,0.0242431573569775,0.000392509129596874,0.00201840722002089,0.0457222871482372,0.194957539439201,0,0.00112294207792729,0.00583402626216412,0.514932453632355,0,0.0204052664339542,0.0142043447121978
71031893,1,6,0.466006606817245,0.0210190583020449,0.00222743768244982,0.000954616174567491,0.00794556457549334,0.0317552462220192,0,0,0.00300652557052672,0.256940215826035,0.00516502792015672,0.00980171654373407,0.195178017020226
71032102,1,11,0.425477653741837,0.0314235091209412,0.000318293372401968,0.00235887290909886,0.0268255602568388,0.0655515566468239,0.000131061984575354,0.000580417341552675,0.00580417364835739,0.392657667398453,0,0.0134432148188353,0.0354279801249504
71032185,19,12,0.14397157728672,0.00641457084566355,0.00039013908826746,0.0014095347141847,0.00617399672046304,0.0589131340384483,0,0.000163606702699326,0.000566330912988633,0.307525396347046,0,0.0946236252784729,0.379848062992096
71032217,16,11,0.279155164957047,0.0232768505811691,0.000744254037272185,0.00291367527097464,0.0421634018421173,0.176670923829079,0.00012668153794948,0.00160282664000988,0.00593819702044129,0.327893614768982,0,0.00427550170570612,0.135238885879517
71032292,16,12,0.0830566734075546,0.0243252050131559,0,0,0.0039036690723151,0.0792306065559387,0,0.000211009144550189,0.000564489397220314,0.661522328853607,0,0.00277828704565763,0.144407793879509
71032409,16,5,0.23065872490406,0.00811947230249643,0.000478786183521152,0.0015457954723388,0.0421727858483791,0.163897469639778,0,0.00145003816578537,0.0166726671159267,0.485016196966171,0,0.0129819456487894,0.0370061919093132
71032422,16,12,0.169618904590607,0.016893994063139,0.000388773943996057,0.000918920210096985,0.0134274046868086,0.178089007735252,0,0.000367227534297854,0.00227962899953127,0.567836046218872,0.000951054564211518,0.00254470203071833,0.0466842986643314
71032440,16,5,0.294462531805038,0.0168123207986355,0.00011774328595493,0.00110521074384451,0.0162201803177595,0.103384010493755,0.000233313723583706,0.00115220213774592,0.000681229052133858,0.354424476623535,0.0060264733619988,0.0390403121709824,0.166339963674545
71028585,1,16,0.537666916847229,0,0,0.00660614017397165,0.0050590974278748,0.0711046308279037,0,0,0,0.000334793701767921,0.346964478492737,0.0322639606893063,0
71030026,1,10,0.956280052661896,0,0,0,0.0360571928322315,0.00766273541375995,0,0,0,0,0,0,0
71029022,17,18,0.377058953046799,0,0,0,0,0,0,0,0,0,0.602711796760559,0.0202292874455452,0
